"37637816";"0001";"30";"1";"AUTO MECANICA GUEDES";"04";"20180904";"63";"";"";"19930309";"4520001";"4520002,4520003,4520004";"AVENIDA";"SERGIPE";"416";"";"CAMPINAS";"74520010";"GO";"9373";"";"";"";"";"";"";"";"";""
"01301519";"0001";"72";"1";"ESCOLA ESTADUAL SILVA DOURADO";"02";"19980728";"00";"";"";"19960710";"8550302";"8513900,8520100";"RUA";"SALVADOR FRANCISCO AZEVEDO";"SN";"QUADRA54                  LOTE  16";"CENTRO";"77330000";"TO";"9247";"63";"36531151";"63";"36531347";"63";"36531347";"SILVADOURADO12@GMAIL.COM";"";""
"57398075";"0001";"90";"1";"";"08";"20081231";"71";"";"";"19870507";"5611201";"";"RUA";"DR COSTA AGUIAR";"237";"";"CENTRO";"13010061";"SP";"6291";"";"";"";"";"";"";"";"";""
"20234118";"0001";"91";"1";"BAR DE LOURDES";"08";"19800111";"01";"";"";"19780623";"8888888";"";"RUA";"DIAMANTINA";"95F";"";"CABANA";"30512250";"MG";"4123";"";"";"";"";"";"";"";"";""
"04682600";"0001";"38";"1";"";"08";"20141205";"01";"";"";"20010912";"7020400";"8550301,8550302";"";"CALCADA ANTARES";"249";"SALA 22";"CENTRO DE APOIO II";"06541065";"SP";"7047";"";"";"";"";"";"";"";"";""
"20234225";"0001";"10";"1";"";"08";"20081231";"71";"";"";"19780623";"4781400";"";"RUA";"TRINTA E TRES";"106";"";"JARDIM EUROPA";"31742665";"MG";"4123";"";"";"";"";"";"";"";"";""
"02919687";"0001";"99";"1";"";"08";"20160919";"01";"";"";"19981211";"6209100";"";"AVENIDA";"INOCENCIO SERAFICO";"358";"1 AND  SL 07  BL 56";"VILA SILVIANIA";"06380020";"SP";"6313";"011";"70829846";"";"";"011";"70829846";"feg.contabil@uol.com.br";"";""
"57398141";"0001";"21";"1";"";"08";"20081231";"71";"";"";"19870506";"4712100";"";"RUA";"GALDINO DE OLIVEIRA";"40";"B";"ERMELINO MATARAZZO";"03627040";"SP";"7107";"";"";"";"";"";"";"";"";""
"06369349";"0001";"81";"1";"SCHWAAB TUR";"08";"20231019";"01";"";"";"20040702";"4929901";"7911200,4924800,4929902";"AVENIDA";"BELEM";"2552";"CASA";"SANTO ANTONIO";"89870000";"SC";"8253";"";"";"";"";"";"";"";"";""
"58356676";"0002";"83";"2";"";"08";"20000131";"02";"";"";"19890405";"4752100";"";"PRACA";"DAS DRACENAS";"50";"CONJ. 01";"ALPHAVILLE";"06453000";"SP";"6213";"";"";"";"";"";"";"";"";""
"37637956";"0001";"09";"1";"MULHER BONITA";"02";"20020831";"00";"";"";"19930310";"4781400";"";"QUADRA";"SHCNW CLNW QUADRA 10/11 BLOCO D";"008";"LOJA  008";"SETOR NOROESTE";"70686620";"DF";"9701";"61";"99986262";"";"";"";"";"GUILHERMECONTABILIDADE2@HOTMAIL.COM";"";""
